comment,label
"saya pikir merk sebesar ini pasti bagus, ternyata mampet kedua2nya. ga ada quality control apa sebelum dipasarkan? saya chat ga dibales2. bener2 memusingkan",Negatif
"kurang padat,baru dipake sudah patah.",Netral
pengriman lama,Positif
jsjshshdjdnwieindjdkxndnjdjd,Negatif
produknya bagus tapi packagingnya sebaiknya dikasi buble wrap supaya kardusnya nggk penyok pas sampai,Positif
ngeblend susah dan warna coklatnya ga pas buat contour :smiling_face_with_tear:,Netral
performa:bagus tekstur:ok cocok untuk:ok,Netral
bonus nya tidak sesuai dgn yg d gambar. walaupun d deskripsi d jelaskan dgn embel2 selama persediaan msh ada..,Positif
"baguss, cakep, murah, sukaaa pake bgt deh.. love love bgt. makasih banyak ya.",Positif
"pesan tgl 25 mei 2021. barang diterima tgl 27 mei 2021, tp yg diterima tidak sesuai pesanan (bisa dilihat foto yg pertama). tgl 27 itu langsung saya ajukan retur, produk... ",Negatif
"mudah patah, pensil alis lain ga segini mudahnya patahnya. isinya sedikit sekali. ga worth it untuk harga segitu kualitas? standar",Negatif
tekstur:mudah menyerap performa:belum tau cocok untuk:tidak tau baru pertama kali coba. tapi sangat di sayangkan beli sebanyak ini tidak dapat tester sama sekali. padahal waktu itu di live bilang. innisfree kalau belanja lebih 500 pasti di kasih freebies . ini enggak cuy :thinking_face:,Netral
"cs respon cepat (sblm kita beli) tetapi saat produk ga cocok n saya tanya solusi, cs tidak balas. akhirny sya chat cs web dan mmberi solusi agar sy mmberhentikan pemakaia... ",Negatif
hadiah giveawaynya gak dikirim. padahal menang waktu live udah disuruh kirim data diri juga. mending gak usah ngadain giveaway kalau ujung2 nya bohong!,Negatif
"beli pas live 7.7 karena setiap item ada keterangan free mukena, ternyata gadapet apa apa wkwkwk aneh",Netral
shamponya tumpah.,Negatif
barang tidak sampe ke saya tapi uang hilang. kapok belanja online lagi dan lewat tokopedia. hilang uang 142 ribu,Negatif
exp nyaaa dekett bgttttt ....,Netral
ga sesuai dengan kebutuhan,Negatif
yang dipesan 2barang yang datang malah cuma 1 lain kli di cek lagi ya kalo mau ngepacking barang,Negatif
produk tidak sesuai gambar...,Negatif
tetap glowing trus ..pakai produk ini,Positif
terlalu gelap (salah pilih warna). susah pakainya. tapi benar tahan lama dan butuh perjuangan utk hapusnya :grinning_face_with_sweat:,Positif
"kemasan ny udh kebuka dan gatau y uda di cobain sm org lain ato blm aga kesel si dan bubble warp ny ga di rekatin sama solasi lagi jadi goyang"" dan mungkin bakal pecah kalo ngga hati""",Negatif
tidak dapat hadiah agak menyesal,Netral
"tutup salah satu botol kebuka, isinya bocor, untung tumpah nya g begitu banyak. be more careful next time.",Netral
"mohon maaf saya kasih rating dua bukan karena produknya, tp untuk masalah pengiriman dimana barang saya hilang. saran mungkin pilihan pengiriman regulernya boleh ditambah... ",Negatif
"beli akhir juli, barang dtg mau dekat expired. makasih",Netral
bintang 4 sj krn paketnya telat datangnya. dan konsumen kok disuruh utk tanya ke kurirnya. 2-3 kali komplen termasuk tokped dan anter aja. butuh lbh 1 minggu dr tgl bts... ,Positif
"packing barang gak aman terkesan agak gak modal cuma pake bubble wrap doang sih, dan termasuk lama dikirimnya h+1 sampai h+2. isi creamnya juga sedikit cuma 20gr.",Negatif
"warna nya cocok buat kuning langsat, creamy tapi ga transfer proof harus di pake lagi",Positif
"pesan nya day cream,night cream sama essential cream & toner malah yg dateng day&nigh sama skin refiner ",Negatif
andalan.. :thumbs_up::thumbs_up:,Positif
"tekstur:cairrrr cocok untuk:bersihin muka kalo pulang sekolah sebenernya bagus sihhh, tapi tuh tutupnya susah bangetttt dibuka. kemarin dipaksain buka malah patahh tutupnya :((",Netral
"produknya original, tapi aku gak dpt free 5 sample huhuhu yg tertera di gambar",Negatif
secara packaging bagus banget. barangnya original. semoga cocok di kulit saya,Positif
efek:oke kemasan:bagus pengalaman penggunaan:bagus di aplikasikan sebenarnya bagus aja cmn untuk ketahanannya masih kuranh yaa,Positif
barangnya ori. lumayan ngaruh di aku cuma emg lama- lama isinya jadi butek dan gooey. ujung aplikatornya kalo ga hati- hati cepet lepas,Positif
"warna:k tekstur:buruk ketahanan:buruk pertama kali beli menyesal, buat putarannya ga bisa. dan lipstik patah, awalnya klo patah gapapa. tapi ini pas diputer ga bisa. kecewa banget dengan pelayanan pertama beli. ",Negatif
"cocok banget utk wajahku,, coba pake merk lain lhoh jerawat muncul..",Positif
maaf sy kasih bintang 3. pertama kali order disini tp langsung kecewa. karena barang yg di pesan dengan yg di kirim berbeda. sy order bedak tp di kirim lipstik. sdh chat dgn penjual tp di minta video berhubung sy percaya jd tidak videoin paketnya waktu buka. next tolong sebelum mengirim paket di cek lg. jgn sampai kejadian seperti sy. pembeli yg di rugikan. terima kasih.,Netral
produk cacat bagian tutup di kirim tutup yg pecah,Negatif
beneran 100 ml dong ah:face_blowing_a_kiss:,Positif
ukurannya tnyta imut2 banget belum dicoba,Netral
"done payment 9 juli , baru diterima 18 juli",Negatif
"kalau untuk maskara nya , aku kasih rating 2 karna biasa aja . diaplikasikan ke bulu mata juga hasilnya ga terlalu bagus .",Negatif
cocok untuk:jelekkk kaya orang sakit pucet smua 1 doang yang bagus performa:beda 2 yg dikirim,Negatif
"makasih barang dh diterima dgn rapih,semoga berkah yaa usahanya",Positif
"sukaaaaaa,, warnanya cantik bangeeett. kayak pakek air singan pollll",Positif
"terlalu soft warnanya saat dicoba, harus pakai yg lebih gelap ternyata",Positif
lama banget prosesnya ya pesan tgl 6 baru sampai tgl 12 sampai kemasan lecek gini ya :unamused_face:,Netral
"barangnya bagus, setelah sampai langsung saya custom kayak gini. digambar ada kacanya, tp aku dapet ga adaaa. kirimnya lama, pesen barang lain dr seller lain aja lbh cepat, padahal duluan pesan di sini.. official ga menjamin ya. mana pas ngechat, blm beres sama admnnya di end chat duluan.. ",Negatif
warna nya soft banget. soft pink dan terasa lembut dan lembab di bibir,Positif
bohong .. ga lentik ga bikin panjang jg.. luntur pula..,Netral
hampir 1 bulan orderan sy tidak sy terima,Negatif
"sungguh mengecewakan belanja di sini, pesanan saya malah nyasar ke jawa tengah dan sampai sekarang jg masih di jawa tengah, tp laporan nya pesanan saya telah sampai saya priksa nama kurir shopee nya saja tak tercantum, saya nunggu hampir 2 minggu tak kunjung datang tp seller atopun pihak ekspedisi tidak ada solusi yg baik untuk si pelanggan malah merugikan pelanggan :thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down::thumbs_down:",Negatif
baru sadar beberapa hari salah kirim shade 3 huhh,Negatif
pengiriman tdk aman pecah botolnya baru kali ini biasanya aman terkendali mana 2 botol yg pecah :weary_face::loudly_crying_face:,Netral
harga:- fitur:- bahan:- beli apa dikirim apa,Negatif
baru kali nih pesan brg domestik tp pngiriman internasional lamaaa bgt sangat skali...dr proses yg bbrpa hari smpe pngiriman gagal bbrpa kali...utk sbuah brand trkenal ka... ,Negatif
tidak seperti seviral yg ditiktok atau shopeebedaknya,Positif
performa:lamaaa,Negatif
"sejujurnya untuk tekstur, kualitas, kinerja produk, dan kecocokan gak ada masalah sama sekali, yg bikin gondok pengiriman promo free ongkir ""tiba besok"" tp sampe... ",Negatif
cocok untuk:wajah berjerawat semoga cocok tekstur:ringan,Negatif
"sudah di ikuti sesuai step-by-step mewarnai rambut tanpa beaching di youtube, tapi entah kenapa kok warna 100% luntur usai di bilas :unamused_face: padahal rambut saya pendek, semesti... ",Negatif
km,Negatif
"tekstur:tai packing ngga aman pecah,terbuang separo isinya",Negatif
"nyaman banget pas dipakai, ga bikin white cast dan ringan di muka",Positif
tekstur:lembut cocok untuk:cocok buat segala jenis kulit,Netral
"ini kecewa sih expired datenya cepet banget dong emang sih diakon tp ga gini juga, niat buat kasih kado jadi ragu mana boxnya jg rada kotor:upside-down_face::upside-down_face:",Negatif
"ga tau apa yg salah dari produk ini... mungkin ga ada. tapi pemakaian 1 bulan rutin, kulit saya tambah kusam, bintik hitam flek di pipi bukan tambah pudar tapi semakin be... ",Netral
kering nya lamaa banget,Negatif
apa gunanya flash sale photocard bts tapi tetap tidak dapat walau sudah sesuai s&k??,Negatif
nggak jelas yg dipesan apa yg datang apa,Negatif
pesennya micellar oil yg dikirim vit c dichat ga ada respon:sneezing_face:,Negatif
"sesuai dgn pesanan dan packing pun sangat baik, terimakasih.",Positif
"sedih banget barang nya datang gak di kasih tutup, jdinya produk tidak steril dan gak tau juga masih baru atau udah di pakai,kalau terbuka pastinya bakalan ada bakteri yang masuk ke produknya",Negatif
saat diterima kondisi kardus sudah koyak dan terbuka. namun isinya masih aman. mohon untuk diperhatikan kembali packing produk dan pengirimannya.,Negatif
my favorite. always uses ultima.,Positif
"pemesanan hampir 3 minggu ,kecewa bget,tapi alhamdulillah sampai",Netral
mungkin karena pas promo kali ya di kasihnya kaya gini atau emg teksturnya seperti ini? dicoba di bibir sih ga terlalu bagus juga:slightly_frowning_face:,Negatif
pengirimannya 5 hari baru sampe :crying_face:,Netral
pesan almond biscotti tpi isinya rose cokctail,Netral
"packing rapi, pengiriman cepat, ya wanginya lumayan lah harga segitu",Positif
warna:bagus tekstur:bagus ketahanan:bagus banget tolong lain kali klu ngadain flash sale atau apa taro expired date nya di judul jgn dimana org liat sayangkan uda beli 6 produk dgn ekpektasi bagus eh ternyata pas dateng malah produk yg hampir expired,Negatif
"tekatur: bukan gel yg bening lebih ke putih. dikulit saya tidak terlalu cocok karena setah di pakai membuat agak kusam dan setelah cuci muka, wajah gatal.",Netral
"tips pengguna:ga ada, pake biasa aja kemasan:rapi efek:bagus pembelian ketiga dan memang bagus juga waterproof",Positif
saya mesen 6 datang 5 setelah diminta pertanggung jawaban dari toko alasannya harus mesen dulu baru dikirim. kira2 ini gimana sih ditoko enak kita belanja lagi barangnya... ,Negatif
mohon dicek ulang klo ada pesanan.. agar tidak salah kirim barang,Negatif
produk saya pecah,Negatif
tekstur:paket hilang paket hilang,Negatif
transfer ke gelas,Netral
kecewa banget padahal udh langganan cuma respon penjual nya kurang d chet gk d bles kayak gk peduli kali,Negatif
"gak lasting, minum ilang",Negatif
barang yang datang berbeda dari gambar :loudly_crying_face::loudly_crying_face:,Negatif
"hancur, walaupun sudah pakai bubblewrap.. sedih :sad_but_relieved_face::sad_but_relieved_face:",Netral
gada masalah sama barangnya. yang bermasalah ada di pelayanan cs nya dan gimmick giveaway yg hadiahnya tidak kunjung datang.,Negatif
"warnanya pucet banget, dan nggak cepet kering dipake. dibibir basah terus.",Negatif
ringannn dan ga buat kering di bibir tapi formulanya susah untuk nempel di bibir. harus sabar aplikasiinnya hehe,Positif
"tekstur:gel performa:g gt bgs cocok untuk:ga tau tolong packaging nya di perbaiki. masa cmn pake kek gt doang, bublle wrap itu pun ga rapih. itu kan kosmetik , rentan. dan itu sudah di buatkan catatan tolong d prrhatiin packagingnya. dear me awal2 bagus. lama2 jelek. saya blok ya kak makasih",Negatif
sial nih beli 2 make over . 1 ori . 1 nya engga . jualan itu amanah ya . bru kli ini saya ubh ulasan pnilaian yg udah sy beri nilai sebulan lebih. 1 ori 1 nya engga .klu ori itu dibawa mkn gak hilng . ini jnagan mkan . minum aja nempel dcngkir beli mahal2 dpet kw . jualan lebih amanah ya biar uang nya berkh . 1 lg nih yg udh pernh beli jua nih yg gni gak ada wngi2 nya ih yg bru beli ini wangi bnget buat curiga . ternyta kw,Negatif
"tekstur:bagus, gampang di blend. suka banget, cuman krn cs nya mengecewakan kasih bintang 2. warna:terlalu kuning-oranye. btw mana extra gift saya? ketebalan:good coverage cs mengecewakan. saya tahu mendekati lebaran banyak pembeli, tp brand besar lain gk seperti ini. gak ada pemberitahua kalau shade habis 2 hari setelah check out. dan itupun saya harus ngechat beberapa kali baru direspon. janji akan dikasih extra free gift, tp gk ada didalam kotak.",Negatif
eyelinernya ujungnya pecah,Negatif
enak sunscreennya terbuat dari gel jadi mudah menyerap dan ga bikin whitecast juga minyakan,Positif
"warna ok dan cukup tahan lama, tapi agak kering di bibir",Positif
"baru mau nyoba, smoga cocok. dpt hrga flash sale mumer. tq.",Positif
kurang oke,Negatif
pesen 10 dapat 10 nya udah bener..cuma yang dikasih varian wortel sampe 12.8 nya varian lain sedangkan sebegitu banyak varian lain apa cuma wortel yang gak laku ya sampe2 pesen masker lebih banyak yang wortel diksh..jadi maaf saya kasih bintang 1.pecah rekor baru kali ni saya ksh bintang 1 di shopee,Negatif
"packagingnya lucu bgt tp produknya ga cocok di aku :( teksturnya agak kental, setelah di dab pake beauty sponge udah cukup lama tetep ga bisa merata ke muka. pake seharian pas sore mukanya jd cakey bgt. produknya keliatan berbulir2 di muka.",Negatif
tekstur:lengket performa:kurang blend cepet kering cocok untuk:bibir ini perdana nyoba lipstik make over. lengket banget dan berat.,Negatif
tekstur:bagus warna:bagus ketebalan:bagus,Netral
kemasan:bagus profil kecantikan:buat acne pesen yg acne datangnya yg brightening:(,Negatif
suka sama teksturnya dan abis 2 paket ini emang ngaruh di muka aku :smiling_face_with_hearts:,Positif
my favorite mask. nothing more.,Positif
kebesaran botolnya huhuhu. pipetnya gak maksimal. tekturnya sedikit berbeda dengan kemasan lama,Netral
"eyebrows pencil hasil : bagus warna : natural pigmentasi : standar feel pemakaian : enak bgt, cocok buat pemula mascara pigmentasi : bagus ketahanan : lumayan",Positif
"birunya bagus walaupun rada samar sama rambut hitamnya tapi sayangnya udah keramas berapa kali tetep luntur, ampe ke handuk2",Positif
tekstur:lembut ga bikin kulit muka ke tarik tapi muka aq jadi ada jerawatnya ga cocok apa ya baru pertama coba juga sih,Netral
"kemasannya bagus, tapi kualitas produknya kurang bagus, sampe stripnya habis semua bulu betis gak keangkat semua. kelihatan aja sih bagus, dan ini po jadi harus sabar nunngu yah hehee",Negatif
pensil alis nya superrr kecil dan terlihat mudah rusak :( ,Netral
ternyata isinya cuma 1 padahal beli lagi promo 1+1:weary_face::weary_face::weary_face:,Negatif
tekstur:ok performa:ok cocok untuk:bedak dapat harga murah tapi di keterangan nya dapat mukenah travel gratis tapi tidak ada,Netral
'good job,Netral
cwocwok puwolll di mwukwa akwuu rasanya swii kywak licwin licwin gitwu di mwukwa,Positif
"efektivitas:good tekstur:scrub kandungan:sulfur kualitas barang oke, packaging lumayan. masalahnyaaa pengiriman lama banget, bisa sampe 4-5 hari. admin juga lama balas chat. kurir shopee juga membanting dan melempar barang seenak jidat.",Negatif
"baru pertama dipakai sudah lgsg patah 2x. pengaplikasiannya jg agak susah, kesat.",Netral
packing kurang aman toko juga tidak respon kemudian bonus kurang 1,Negatif
ternyata bukan matte ..luntur,Negatif
"barang yg di kirim tidak sesuai dengan yg di pesan, di tingkatkan ketelitiannya, gak banget dari cara komunikasinya juga",Negatif
"gak tau kenapa orderan kali ini diprosesnya lama banget sama tokonya, sampe harus bolak-balik chat",Positif
kemaren pesen. gak dikirim2 sampe batal otomatis. sekarang pesen bengkoang dikirim mutiara. dah lah ini sellernya bhay...,Negatif
separah ini.,Negatif
"di packing dengan rapi, aman anp tempat. tipis n kcl...",Negatif
bagus tebal ga bleber,Positif
toko ga amanah nihhh :face_with_tears_of_joy::face_with_tears_of_joy:,Negatif
si lv tk mc do of ek lg dgn mc cm kd si piye cm lv dk,Positif
ternyata warnanya lebih gelap dari pada diphoto jatohnya kurang bagus...,Positif
sakit banget. dibanding merk lain ini jauh lebih sakit. nariknya juga ga bersih jadi harus tempel berkali-kali dan sakitnya astaga. setelah beres waxing juga perih2 gatau... ,Netral
"terkelupas di alis, jadi seperti ketombe:loudly_crying_face::loudly_crying_face:",Netral
kemasan:baik.. tersegel tips pengguna:belum coba profil kecantikan:belum coba hanya pengiriman aja lama sekali.. pesan dari tanggal 13 baru dikirim tgl 15.. belum lagi ekspedisinya lama bgt dan baru saya terima hari ini tgl 23.. ckckckck,Netral
2x order 2x datang ga lengkap,Negatif
pesanan sy ketika sampai lalu sy buka isinya tumpah sisa airnya tinggal 1/4 lg. harusnya di packing dgn baik. tutup botolnya di plaster agar tdk tumpah.,Negatif
mantapp baguss,Netral
baru dateng spraynya macet huhu :frowning_face:,Netral
pengalaman penggunaan:aman wangi:ga ada bau nya tips pengguna:setiap hari,Negatif
d trm dgn baik.. mf tdk bs ksih fto brng krn... d krm ke anak sy,Positif
"produknya segel terbuka dbagian tutupunya dah isinya sebagian tumpah, dan tersisa 1/2 dri isi yg sebenarnya :hot_face:",Negatif
moga cocok ya,Positif
"promonya mengecoh/menjebak, gasuka marketing kaya gini maaf",Negatif
"warna pink muda ala barbie, walau pas dioles kok agak patchy ya. tapi pake tipis2 aja oke kok, warnanya udah cukup nutup ke bibir. awal dipakai kerasa agak berminyak trus... ",Positif
tekstur:lembut cocok untuk:wajah performa:baikkk gasabaar coba ini!! di swatch bagus banget ada shimmer nya. semoga bagus dan awet yaa!!,Positif
formula nya agak aneh. jadi mengental dan tidak cair lagi,Netral
cepat meresap dan juga bikin lembab,Positif
luntur maskara nyh,Negatif
감사합니다,Positif
packing kurang ama tutup botol kurang rapet jd luber,Netral
sangat kecewa pertama unboxing sudah pecah,Negatif
tidak ada epek penumbuh rambut,Negatif
tekstur:cair performa:baguss cocok untuk:rambut swmoga cocok ya,Netral
kena air mata....luntur...,Netral
"warnanya pas, teksturnya creamy dan ngga terlalu keras, cara aplikasinya mudah",Positif
pengiriman lama banget telat 2 hari dari estimasi,Netral
performa:baru pertamakali tekstur:cair cocok untuk:jerawat baru pertamakali semoga cocok,Positif
"packing aman dan rapi, barang diterima dalam kondisi baik, blm dipake semoga beneran bikin lentik dan tahan lama. terima kasih.",Positif
"sorry to say, tp jelek bgt sumpah warna dan formulanya. ga nempel di bibir:loudly_crying_face: dan warnanya pink pucet bgt. tp thanks seller udh well packaged dan pengirimannya lumayan cpt",Negatif
cocok untuk:segala jenis kulit tekstur:cair performa:merawat kulit barang diterima dalam keadaan segel sudah terbuka.,Netral
saya kok gak dapat gift sich,Positif
bau,Netral
"pengemasan rapi dan aman tapi pengiriman lama banget,produk sesuai dengan deskripsi",Positif
"tekstur:halus banget performa:rapi cocok untuk:kulit minyak hasil nya sih biasa aja, gak jelek gak bagus juga",Netral
"bahan:blm coba daya serap:blm coba bentuk:blm cb aslii kecewaa bgt brg yg dtg ga komplit di nota dpt beauty sponge taunya engga bohong bgt ngaajuin komplen ga dtanggapi dong parah bgt ga mau lagi deh beli ini dan ternyata saat live bnyaak bgt yg komplen salah kriim brg lah , slaah kirim shade lah dan pada ga dpt hadiah gratis. oficialstore ko gini",Negatif
"sesuai pesanan packaging jg rapi, proses pengiriman standar",Positif
kemasan:ok wangi:ok ku kira dua .tau nya 1 biji .terbaik emg,Netral
pengalaman penggunaan:bikin glossy bibir,Netral
"sayang bgt bedaknya ga bs nempel di kulit dgn baik, ga bs menyatu dgn skin care n foundation sebelumnya :pensive_face: (edit bintang 1 jadi bintang 3) maaf bgt ya ga bs ksh bintang... ",Netral
"performa:jelek bgt, bisa2nya udah kebuka kecewa sm pinkflash. pdahal cm 3 item masa gabisa rapi ngepacking? omg sekelas shopeemall loh. ini udah robek banget kek kebuka gituuu. ihhh bener2 yaaa untungnya gaada yg tercecer. tolong diperhatikan lagi lah ya. ga lagi deh!",Negatif
"terlalu powdery, kurang pigmented huhu pdhl dari luar udh bagus bgt...",Negatif
tekstur:lembut performa:wangi cocok untuk:semua jenis kuli kok bisa pesanan saya terima dlm keadaan...habis di bukak.berantakan bngettt.bener2 sangat mengecewakan.....,Negatif
produk rusak. pengemasan gak ada dusnya....,Negatif
wangi nya suka ... thanks ya,Positif
cocok sama kulitku jadi lembab,Positif
"warnaanyaaa puceeet bgt, pas dipakee ga bs rataaa, dipakee basenya lip care tambah ga bisaa nyatuuu, aku juga bli yg kisses lebh bgus, kalau yg emberace big no pkoknyaa",Negatif
"beli di kejar disc tp end up harganya gak murah2 amat krn yg 100ml malah jatohnya lebih murah per ml. judul barang dan penjelasan produk agak menyesatkan, krn penulisan d... ",Netral
"warna nya nggak terlalu lama di bibir ya, untuk alis belum di coba, overall oke dengan harga segitu",Positif
sayang sekali nyampe sini tutup kebuka isi kepencet keluar.sebelum dikemas sebaiknya bagian tutup dikasih lakban.,Netral
"isi tdk full, tumpah, packingnya cm dimasukin dlm karton gd bublewrap",Negatif
"paket sudah sampai dengan selamat. pengiriman cepat, 1 hari sampai. produk belum dicoba, semoga cocok. agak kesel sih, karena dikasih yang exp.2023 bulan 11",Netral
hadiah ga dikirim.. :zany_face: gausah nulis free klo ga dikirim..,Negatif
"kerasa pait banget pdhl kena lidah dikit aja, soal ny pake produk yg lain blm pernah gini, malah ada yg manis :grinning_face_with_sweat:",Positif
kurang sesuai sma aslinya,Netral
katanya beli 5 gratis 3. tapi yg dateng serum yg 1 sheet nya aja. kecewa si.....,Negatif
katanya ada free nyaa tpi kok ga ada yahh,Negatif
kemasan:pas profil kecantikan:cocok,Positif
cocok untuk:kulit kering tekstur:kental performa:oke enak dipake semoga cocok dan bisa beli lagi,Positif
saya pesen yg combination/oily skin tp yg dateng normal/dry skin.. di chat tp ga di bales.. kecewa sih tp yaudah lah yaa.. semoga kedepannya lebih teliti lagii.. ,Negatif
pengemasan lama..hr ke 3 baru dikirim. gk ada bubble wrap sama sekalii. payah sih,Netral
"aduh bagus banget, mana lagi diskon, pesen 2 barang yg dateng sekontener udehlah mo protes apalagi sik, pengemasan rapi, liat sendiri deh secetar apa nya :nail_polish_light_skin_tone: makasi kakak seller, sukses selalu ya :sparkles:",Positif
