comment,label
gabisaa di puterrr jd gbs naik :smiling_face_with_tear:,Negatif
mesen 3 yg datang 2 yaallah mana ga ke video unboxingnya :loudly_crying_face: pdahal yg dibutuhin hyperfinenya :loudly_crying_face::loudly_crying_face:,Negatif
"digambar si hitam, tapi aslinya malah hampir sama kaya shade 4 kecoklatan",Netral
warna:sesuai kualitas:terlalu cair biasa nya beli revlon tp gak secair ini,Negatif
tekstur:ringan performa:menarik cocok untuk:semua aktiivitas,Positif
kualitas produk nya oke banget. tapi utk manage order ke step pengirimannya ga bgt deh. pesen pake gosend instan udh last minute baru diproses. status 'diproses'... ,Negatif
baru nyoba ini direkomendasiin saudara. dipake oke. ga bikin kulit kering. pengiriman oke juga,Positif
"packingnya kurang rapi, sampai di tempat dusnya rusak dan shampoonya bocor sehingga kena ke produk yg lain",Netral
sayang banget hancur padahal di buble wrap,Negatif
"kan beli nya highlighter ya, knpa dikasihnya contour :loudly_crying_face::loudly_crying_face:",Netral
"baru sekali ini mesan barang di madame gie kurang barang nya, huu kesal banget , aku pesan eyeliner , masker, maskara , sama liptint tapi liptint nya gak datang , padahal liptint nya yg di harapkan",Negatif
"belum dicoba, semoga cocok dipakai & gak bikin bibir kering. thank you!",Positif
"packing aman,produk baik, pengiriman 2-3hr an lah, buat yg ini blum di coba smoga cocok:red_heart::red_heart::red_heart:",Positif
"selang pompa tidak ada, isinya hanya 1/4 botol",Negatif
"packingan aman dan rapi, pensil mudah diaplikasikan ,empuk tidak keras,sangat suka",Positif
pengiriman sampai dgn cepat tapi sayang barangnya pecah jd agak kecewa.kalau brangnya pecah belah tolong di kasih tanda biar pihak kurir bisa lebih hati hati. terimakasih... ,Negatif
mudah2an cocok sama aku,Positif
toko terburuk di shopee! ga pernah se marah ini selama belanja pake disini baru sekarang dapet toko yg nunggu hampir seminggu baru ngirimin produk. asli ga bakal beli disini lagi! parah bener2 ga profesional. kalo ada bintang yg lebih buruk dari *1 mau saya kasi tapi 1 sudah paling buruk.,Negatif
kurang cocok warna ny di kulit aku.. aku beli 2 tone.. ga ada yg pas.. di campur pun masih ga pas. kd mgkn nanti di skip klo mau belanja lg,Netral
bagus saya suka terimakasih,Positif
tekstur:cair performa:biasa saja agak kecewa dengan order ke dua ini. pertama beli yg rubby isinya bagus nah sekarang beli yg burnt chestnut dan rose souffle isinya malah mengecewakan gitu. ga penuh. jadi berpikir banyak kali untuk repurchase.,Netral
"cocok sih u/ pemula, tp gak bgt suka dgn kuasx yg kurang fleksibel, ujung kuasx agak kaku gitu, but it's ok lah",Netral
"tekstur:lembut, cair performa:baik cocok untuk:semoga cocok barang sudah sampai dengan baik.. barang yg diterima sesuai dengan pesanan...",Netral
"tekstur:kurag baik performa:baik cocok untuk:pengemasan nya kurang maksimal tpi nggak masalah, lebih di perhatikan lagi",Negatif
"emmmm kurang worthit atau akunya yg gabisa pake yak wkwkwkwk cobain aj deh ka sendiri, ga nyesel si",Positif
"baru pertama beli tapi sudah kecewa, brg lama sampainya, trs barang sampai tidak lengkap di gambar ada tas nya tapi pas sampai tas nya tidak ada pd hal baru pertama beli,... ",Negatif
"chat tidak di respon sama sekali, walau toko sedang online, pengemasan lama hingga batas akhir dari shopee",Negatif
makasi bonusnya.. semoga cocok,Positif
"udah 3x ikutan sale nih di madame gie, ntah lagi kenapa madame gie ga fokus banget ngirim barang. pertama order 3 dikirim 2 yg 1 katanya abis tapi ga konfirmasi dulu, kedua salah warna, ini yg terakhir warna ga sesuai banget. ampun deh",Negatif
bagus masker nya mengangkat komedo suka banget. udh lama pake ini,Positif
warnanya cantik tapi kurang suka teksturnya,Positif
tekstur:cair cocok untuk:dewasa performa:baik pesennya saucy tp dikirimnya yg lain kecewa bgt sih,Netral
mantep sesuai pesanan thank you semoga sukses selalu ya kak,Positif
semoga ada hasil.a..,Netral
"sy kasih bintang 3. soalnya agak kecewa,budle set yg datang tdk sesuai dgn digambar..digambar harusnya black tea youth enhancing cream,tapi yg datang jeju cherry blossom jerry cream",Netral
"pas murah promo,sudah beli byk tp kurang tau perubahannya. pake rutin aj. moga berefek bagus. trmksh",Positif
"barang tdk sampai krn rusak sdh komplain tokped dan sdh ada pengembalian, awalnya mikir full ksalahan ekspedisi, tp liat review emg packing nya dr penjual jg krg bagus,... ",Negatif
jujur kak ini kenapa kayak ksong isinya jdi waktu mau di aplikasiin ke muka ga pencetan pipetnya susah padahal lengkap ada segelnya.,Negatif
"terimakasih bonusnya, 2 facial foam. anak saya remaja 14 thn, saya pakaikan ini buat ngurangi jerawatnya.",Positif
"bagus bgt lipstiknya, warnanya merah bata agak orens dan coklat. cocok buat kulit sawo matang, super pigmented jadi nutup warna bibir gelap. dan creamy bgt jadi ga pecah,... ",Positif
patah tutupnya. sampo isinya beleber keluar. penyok ,Negatif
spoolie browcaranya kureng,Positif
"pembelian kedua kalinya. isinya tdk sesuai dengan yg tertera. kurang dari setengah terisinya. pembelian pertama awet sampe 2 bulan, yg ini 8 hari sudah kosong (habis). liat review ternyata banyak bgt juga yg ngalamin kejadian kayak gini. berarti alasan admin untuk perbaikan kedepannya ini gmn?",Negatif
"katanya dpt free parfume, tp ga ada",Positif
"packaging:aman pesennya 1 paket white expert, yang di kirim night cream ultimate bright semoga lebih teliti lagi sebelum di kirim",Netral
"sudah dua kali sih beli di sini, produknya lumayan bagus...",Positif
performa:gak terlalu menutup pori2,Netral
"bagus,,wangi bhan nya lembut",Positif
"produk tidak ada, tidak dikirim.",Negatif
"wanginya enak, tpi kenapa wanginya ga kecium, terus ga tahan lama:(",Positif
"pesanan sudah kami terima, mudah mudahan cocok. terimakasih respon dan pelayannanya..",Netral
ini lipstick nya kaya udah dibuka. kaya udah dipake,Negatif
"udah sampe dengan sangat lama hehe, utk produk nya bagus bgt udh ke 2x belii, cocokkk",Positif
"entahlah, mungkin karna emng gak cocok, muka jadi tambah kusam. ",Negatif
bahasa jualannya pembohong!!!!!,Negatif
harga:59.000 sudah dapat gratis ongkir terkena ppn juga,Negatif
"liat rivew orang2 pada dapet hadiah, ternyata saya tidak:smirking_face:",Positif
pesen niacinimide tp dikirimnya cica :) mungkin karena botolnya sama warnanya yaa jadi yg packing salah ambil. salahnya saya baru ngeh kalo produknya beda pas udah mau di... ,Netral
"tekstur:creamy cocok untuk:semua jenis kulit performa:lembab, msh transfer, barang sampai dg selamat, packaging bagus, warna bagus, lembab di bibir. msh transfer, bisa dihilangkan dg tisu. terimakasih",Positif
selalu debest...,Positif
sesuai order,Positif
"concealer yang krisis identitas, aplikatornya terlalu besar, susah untuk spot conceal. untuk brightening teksturnya terlalu kental dan cepat sekali setnya. coverage nya m... ",Netral
profil kecantikan:bagud pengalaman penggunaan:uda ke2 kali beli di sini tips pengguna:gunakan setiap hari pengemasan aman,Positif
kecil bgt,Negatif
spon nya tdk diterima,Negatif
"paketnya cepet sampe, tapi rada penyok gitu packagingnya hahaha tp gapapa karna isinya masih aman kokk, cocok sih tp belom ngerasain gimana progressnya, semoga cepet ngerasain deh ya xixi",Positif
"ini terlepas dr kualitas produk yg aku suka,tp sorry pembelian kedua nih padahal, bkn makin cakep servicenya malah makin:thumbs_down: ",Negatif
kemasan:kurang terlalu asal asalan tolong diperbaiki lagi,Netral
"baru pertama coba teksturnya cair, gampang nyerep enak buat jenis mukaku yg super oily aromanya juga normal semoga cocok",Positif
tekstur:gumpal performa:biasa cocok untuk:- kemasan beleber dan gumpal bgt pas dipake. kecil bgtbgt.,Negatif
tekstur:lembut performa:bagus cocok untuk:setiap hari alhamdulillah pertama kali pesan sangatlah puas...semoga selalu amanah . terima kasih :folded_hands::folded_hands:,Netral
pengemasan kurang aman sehingga sampai sudah hancur duluan :loudly_crying_face:,Negatif
warnanya bagus.. serumnya ga lengket... wangi.. recommend,Positif
cucok warna agak orens nude natural di kulitku....praktis n smoga cocok di kulit yg sensi ini bisa untuk blus on dan lipensetip wkwkwk....,Positif
"aaaa nyesel cuma beli satu deh:loudly_crying_face: ringan bgt dipake guys, dan tahan lama juga pokoknya mantulll:smiling_face_with_heart-eyes: otw beli lgi ah abis ini:face_with_hand_over_mouth:",Positif
"barang sampai tepat waktu, aman gak tumpah2",Positif
"ringan, dipake ga ada iritasi... recommended buat kulit normal",Positif
sy pesan yg matte tp yg dtg bright gmn bs di tukar sbb kulit sy berminyak gmn cr nya unt di tukar,Netral
"kemasan:buruk penyok sana sini blnja tggl 4 skrng ud tggl 17 br nyampe , pdhal sesama jkt. klu tdk komplen tdk d kirim. soooo baddd",Negatif
parah yang dikirim cuma 10 nyesel banget pls jangan beli,Negatif
lumayan bagus tapi ini bedaknya agak oksidasi ya. coverage medium. sponge bawaan bisa dipakai.,Positif
"team packing loreal ga lucu!!! package nya serasa dikasih sisik ular! pas buka auto w lempar, tgn w msi gemetaran :loudly_crying_face: jijik bgt sumpah! w msi deg2an :loudly_crying_face: klo gada bubble gau... ",Negatif
"beli yg wrna pink, yg di ksih yg ros mana gk ada tutupnya lagi udh bocor kemn"" kyknya ini brng lama",Negatif
"kuasnya bagus, tdk luntur, cukup hitam, awet , sy suka dng tipe ini, sdh coba2 ganti merk, make over ini yg paling cocok.",Positif
"kagettt bangett sama size nyaa i know sih size nya emg kecil tapi ini kecill bgtttt apalagi dari ekpektasi aku sama ni concelerrrd , kualitas nya bagus cuma size segitu ku rasa ga cocok aja sama harga nyaa aku harap sih dituruns sedikit harganya",Netral
"kemasan:oke, bagus tips pengguna:pakai tipis-tipis sudah bagus pengalaman penggunaan:pernah pakai sekali, lumayan stay barang sudah sampai, pengiriman lumayan cepat. warnanya bagus",Positif
"performa:masih transfer tapi gapapa karna secinta itu sama warnanya cocok untuk:ombre di tengah gitu tekstur:velvet, halus di bibir, gak bikin kering",Positif
pekingnya kurang rapi,Negatif
"pengalaman penggunaan:bagus profil kecantikan:sawo matang wangi:harum produknya bagus, worthit harga segitu kualitas bagus",Positif
"kualitas produknya baik tapi sellernya perlu banget memperbaiki kualitas pelayan. membuat aturan pengiriman sendiri tp melanggar sendiri. kalian perlu sekali di kasih rating rendah agar menjadi pembelajaran. bukan karena barang yg di terima customer dalam kondisi baik saja, tp komitmen proses pengiriman jg harus sesuai dengan apa yg seharusnya. fyi barang saya baru di kirim setelah di complain.",Netral
cocok untuk:kulit kuning langsat,Positif
"barangny bru smp mudah-mudahan cocok, biar nti jd langganan. :thumbs_up::thumbs_up:",Negatif
n,Negatif
gila sih ancurrrr,Negatif
"paketnya dah sampai,tutupnya kurang kenceng jd hampir tumpah.untuk keseluruhan baik semua wanginya pun enak",Positif
mantep :v,Positif
chat agennya gak ngebolehin ganti alamat pengiriman padahal masih dalam kota yang sama,Negatif
"tidak lengket, ringan di kulit, sangat cocok untuk kulit remaja, harga terjangkau, makasih azarin,,, sudah langganan,",Positif
"sunscreen favorit, apalagi klu ada diskon makin happy",Positif
cukup bintang yang menilai,Negatif
maaf ya..aku kurang suka macam bedah aja baunya sama produk yg lama,Negatif
"efek:blum coba tips pengguna:blum coba pengalaman penggunaan:blum coba saya sebel deh sama seller nya knp dikirim nya ga rapih bgt udah gitu lama lagi, saya terima kotaknya udah terbuka lebar kaya ada yg bongkar trs di bedaknya ga ada expired nya, ini asli atau palsu ya? :loudly_crying_face::loudly_crying_face:",Negatif
mewah bgt packaging nya the best,Positif
"baru bgt coba sabun ini krn bnyk yg bilang bagus, tapi pas aku pke abis cuci muka bagian lipatan hidung terasa perih bgt, emg perih nya sbntr tapi setiap cuci muka pasti... ",Negatif
sdh ke 3 kalinya beli ini. sangat cocok. mencerahkan dan melembabkan,Positif
"hasil matte, coveragenya merata & cukup nutupin dark spot, oksidasi 1 tingkat, pori2 tida tersamarkan. desainnya mewah. packaging aman. respon admin ok. puff lembut b... ",Positif
dikirim tidak sesuai shade,Negatif
performa:warna sih menarik cocok untuk:kantong skin care kurang besar karena tidak muat untuk toner sekaligus moisturizer didalam kantong ini.,Netral
"order tgl 27 aug, barang sampai tgl 8 sep, mantap!",Negatif
kecewa karena expired date nya cuma setahun kemudian padahal masa pemakaiannya 2 tahun setelah dibuka dan juga proses penyiapan pesanannya cukup lama padahal pengiriman nya cepat,Negatif
barang ngga lengkap... mengecawakan,Negatif
tekstur:tekstur cair kek sudah di campur air warna:nggak bagus ketebalan:nggak sip tekstur nya kek udah di tambah air,Negatif
beli dua tapi yg satu seperti bekas ada goresan d pinggirnya,Negatif
"cepet banget ilang warnanya!! tp overall very good!! love the colour, the tint texture(?), the packaging and applicator is absolutely pretty!!!",Netral
"gak cocok dimuka aku yg sensitif, baru 2 hari pemakain minyak diwajah malah banyak, plus jerawat muncul semua.",Negatif
"saya sudah blg barang mau dipakai jam 1 siang, tapi karna sampai jam 11 blm juga dikirim maka saya ajukan pembatalan dan ditolak. harga ongkir gue lebih mahal hampir 100k, drpd harga barangnya yang cuma 60k, dan pakai kurir instan ya karna gue butuh barangnya cepet. dasar seller l4knat. alhasil sekarang barangnya ga bakalan pernah kepake, karna udah gak dibutuhin lagi. nambah2in sampah dirumah gue aja.",Negatif
tekstur:lembut dan padat performa:dapat melembabkan bibir cocok untuk:remaja dan bibir kering,Negatif
"guddd cuma ya begitu gompel sisi atas bawahnya, akkk sedih battt berasa langsung patah hatii, mau komplain ribet alurny udala pake ajaaa, tp jd gaberani dibawa pergi2 takut ancur2an..",Positif
cocok untuk:enak r tekstur:gel performa:tdk ad hasil k,Netral
daya serap:bgs efektivitas:bgs tekstur:bgs bgss,Negatif
tekstur:creme cocok untuk:kulit wajah maap saya kasih bintang 2 micellar water nya tumpah semua.....pengiriman oke ...lain kali sebelum d kemas tutupnya d cek lagi,Negatif
cantik di pakai,Positif
kok bonusnya cuma satu.. kl beli langsung bonusnya banyak banget lhooo. aplg sy belanja 4 item,Positif
waktu proses dan pengiriman lama,Positif
"cocok banget untuk koreksi mata panda aku yg gelap gulita. sesuai claim semua umat! namun menurutku esqa official pelit bgt. ga dpt free apapun padahal aku co 2, concealer dan corrector. kecewa",Netral
"barang sesuai, pengiriman tepat waktu",Positif
"performa:baik cocok untuk:kulit kering dan sensitif tekstur:kental dan bening pertama kali coba.. karena katanya berupa gel, pas aku beli beneran gel. kukira bau nya seger gitu, tapi ternyata baunya sangat menyengat seperti bau plastik.",Netral
pertama kali beli luxcrime dan ternyata emg love bgtt.. teksturnya smooth dan yg paling penting ga bikin bibir kering!!,Positif
"pertama kali coba,semoga benar-benar bisa memutihkan gigiku yang kuning edit: ternyata sulit diaplikan,karena rasanya manis dan langsung memproduksi air liur yang banyak... ",Netral
"cukup mempertahankan make up. tapi, memang masih tetap berminyak.",Positif
"pada saat muka saya bermasalah, disarankan menggunakan varian calm down ini, tetapi setelah 1x pemakaian muka saya gatal2 .. bagaimana ini ? , apa saya balik ke varian b... ",Positif
okay,Positif
setia sama fixy dari jaman gadis,Positif
"sepengalamanku, biar busanya lebih keluar, caranya cairan samponya diusep2 dulu di tangan baru apply ke rambut. wanginya tipis2 tapi seger sih. minusnya cm bikin ujung ra... ",Positif
beli 2 dikirim 1..sayang wkt buka paketny ga unboxing jd ga ad buktiny ...pdhal ud biasa beli di revlon ga prnh krg pwngirimannya,Negatif
"baru coba sekali, ringan gak berasa pake bedak krn gak suka pake bedak. warnanya masuk ke kulit sawo mateng mdh2n gak ada masalah buat kulit ke depannya.",Positif
warna nya ko beda sama yg di gambar ya...lebih tua,Netral
barang diproses lamaaa,Positif
"kecewaaa,barang yg dikirim tidaak sesuai pesanan",Negatif
tekstur:bagus performa:baik cocok untuk:kulit spon bedak lembut tapi berbulu sehingga nempel di kulit,Netral
"wangi, isinya banyak dan bisa untuk foundation",Positif
"bagus kok, rekomended si",Positif
warna:bagus kenyamanan aplikator:kurang nyaman ketahanan:tidak tahan,Negatif
"cocok untuk:wajah tekstur:cair performa:lumayan kirain bakalan dapat free face palette, trnyata tidak. kecewa. untuk produknya lumayan, pemakaiannya dicmpur dengan foundation. setelah pakai makeup dari pagi sampek sore makeupnya tidak terlalu creasing.",Netral
"di paketnya ada face wash + toner + daycream + night cream , tapi yg dateng night cream 2'nya ,, udah chat penjual minta di tukar udah ga bisa padahal ini kesalahan sellernya,, mohon maaf jadi saya kasih bintang 1:folded_hands:",Negatif
isi dari lip color kering dan tak ada isi,Negatif
pengirim an lama,Negatif
udah hampir 2 tahun pake serum trueve ini. aku suka banget soalnya cepet meresap di kulit.,Negatif
tekstur:cair performa:- cocok untuk:- tolonglah safi klo mau kirim tutupny dilakban dulu ato pokokny ditutup supaya rapet gitu. sy udh 2x order yg ini dan selalu bocor pas barang sampe. jd byk yg kebuang kan sayang:loudly_crying_face:,Negatif
"biasanya packing dengan dus , tetapi saat ini tidak dengan dus sehingga menyebabkan tumpah dan isi sedikit berkurang... semoga ada perbaikan kedepannya",Positif
produk bagus.. cocok di kulit..,Positif
"wanginya enak, cuman kok pas dateng tutupnya agak sedikit kebuka, dan segel di dalemnya juga udah kebuka, perasaan kmren yg aku liat di store pake segel di dalem tubnya,... ",Netral
"lucu banget sama packaging, baru nyoba lip stain nya, karna kalo pke lip tint selalu aneh",Positif
di buka mau di pakai ternyata ga sama sekali ada cairan keluar ! alias kering . kecewa isi kosong,Negatif
barang expired masih aja dikirim.beli 2 exp semua.ini harusnya udah g boleh diedrkan lagi.6bln sebelum masa exp sudah ditarik.ini malah sengaja dikirim. dichat juga gak dibales2.pengiriman sampek 9hri.capek deeehhhh!!!!!!!!!,Negatif
"segi packaging si mois bagus tp mending di kasih plester juga kaya si toner biar ga tumpah gitu, trus ini kedua kali nya pesen disni, thank u",Positif
lama barang nyampe. :upside-down_face:,Netral
ga bagus ga pigmen,Negatif
"tekstur:belum mencoba aku kira bakal dapet ultima ii extraordinaire untuk freenya karena detailnya begitu. but its okay no problem. ultima always good skincare. huhu, i harap kedepannya lebih baik lagi kalo buat free gitu:purple_heart::purple_heart:",Netral
ada packing kotak dan bubble tapi sayang nya botol cleansing oil apple nya tidak disekat jadi oil nya tumpah keluar sampai kotaknya pun berminyak. dari review yg lain di... ,Negatif
datang tepat waktu packaging bagus,Positif
lama bgt pengiriman melebihi waktu yg di kasih tokped,Netral
bagus bikin glowing tpi lumayan perih dimata,Positif
qc tidak bagus. produk tidak di check dulu sebelum dikirim langsung kirim aja. pas buka banyak bulu2 mata seperti divideo. meskipun entah itu bulu mata palsu bikin jorok jadinya.,Negatif
"pengalaman penggunaan:panas di muka wangi:kaya cengkeh? tips pengguna:gak usah ikut challenge2 lagi deh kecewa sih sm somethinc, suka produknya tapi caranya gak gini kalo bikin challenge. ini hoax ya gaes kalo kalian dapet kaya gini, aku ikut karena tulisannya everyone can win, gak ada embel2 diundi, min follower, yg pntg views 100k langsung klaim hadiahnya. enggak, gak ada tanggepan di email. bilang aja dr awal kalo mau dipromosiin gratis. udah kalah saing sm brand sebelahkah? bikin konten, views banyak jg butuh effort ! gak jelas. nyesel dah.",Negatif
"aromanya oke, cuman spreadability produknya masi aga kurang.",Positif
"tips pengguna:belum tau kemasan:kenapa keduanya harus dibedakan kemasannya? wangi:wangi kimia pengiriman cepat, produk belum terlihat kualitasnya padahal sudah pakai 2 botol dan semoga kedepannya bisa keliatan hasilnya but tq seller",Negatif
belum dipakai. dapat free face wash mini. makasih akak:purple_heart:,Positif
semoga cocok di muka ku,Netral
barang diterima kurang 2 pcs dan sebagian besar dapat varian masker yg sama. setelah kontak via chat dikirimkan kembali barang yg kurang.,Negatif
"bagusss, sukakkk:red_heart::red_heart:",Positif
"pengiriman cukup lama, dus dlm kondisi sobek, ga sempet videoin, untungnya dalamnya msh utuh.",Positif
"produk ok,.packing jg aman...nyampenya itu lho...lamaaa",Positif
penggemasan lama banget di chat juga awalnya ga di bales bales giliran keluar kata aga kasar baru di respon,Negatif
"cocok untuk:kulit putih tekstur:lembut performa:bagus produknya bagus untuk kulit putih, kalau kulitnya sawo matang kek saya warnanya kurang keluar",Positif
tekstur:creamy mudah patah,Netral
tekstur:late deliver due to overloaded ,Negatif
"manfaat:cantik kemasan:elegan paket sudah saya terima sesuai dengan pesanan, terimakasihh...",Positif
"pas saya buka paketnya, micellar nya tumpah, tidak tertutup rapat",Netral
respon ramah packing aman barang sesuai deskripsi.semoga cocok,Positif
udah datang dan pas pake dimuka ku ga cocok perih,Netral
packing aman..pengiriman cepat… belom dicoba semoga cocok..,Positif
baru pertama kali pake ini mudah²an cocok ya,Positif
thanks seller,Positif
pengirimannya gila lama banget :loudly_crying_face:,Netral
wangi:belum tau intensitas:belum tau tekstur:belum datang barangnya masih inden katanya gitu... tapi pesenan lain yg barengan udah datang.. kita tunggu saja...,Netral
"wangi:aroma ny enak sih mnrut ak ak ubah ulasan ny :grinning_face_with_sweat: ak dah pke bbrapa hari pagi n malam , entah cocok entah tidak , dah coba berapa hari bruntusan d wajah ku ga ilang ky ny nmbah dkit n klo serum ny d pke ko ky kusam gitu wajah ku ,ap ga cocok yaah klo utk klembaban sih ok mnrut ku , tapi ak cb abisin deh , syagng klo ga d pke :grinning_face_with_sweat: mahal soal ny :rolling_on_the_floor_laughing:",Positif
"ngirim lama ujung2nya gak nyampe, salah pilih ekspedisi",Negatif
profil kecantikan:bagus pas dpt diskon lg,Positif
pengemasan sm pengiriman lama,Positif
gatau kenapa ya ko malah aku pribadi lebih suka yg cuma brightening aja. yg ini soalnya teksturnya lebih kental jd lebih lengket gt menurut aku. tp coba nunggu abis deh a... ,Positif
langganan:heart_hands::index_pointing_at_the_viewer::sparkling_heart:,Positif
cocok untuk:semua,Negatif
"kurang 1, padahal pesan 3, lupa videoin pas unboxing dari paket masih disegel, ya udh lah gpp, sekali aja beli disini",Negatif
"pengemasan lamaaaaa bgt, giliran d batalin lsng dah d krm :thumbs_down:",Positif
salah ngirim . pesannya toner yg dtg cream night,Negatif
"sangat disayangkan segel udh terbuka saya ga tau terbuka dari penjual atau dari jasa pengiriman tapi saya sangat kecewa, karena barang yang saya terima sudah dibuka dari segel",Negatif
"koordinasi antara penjual dan ekspedisi mengecewakan. padahal akun dikelola tokped, ekspedisi pun pakai jasa gtl",Negatif
warnanya pigmen hitam pekat...cuma pas dipakai rasanya seperti ada lem kering gtu...harga murah n wateprof...lumayan ya ga mleber2...makasih,Positif
"maaf karena datangnya pecah. mau ajukan pengembalian tapi hanya bisa dikembalikan uang, bukan barang yang sama. jadi pasrah aja pake yang ada huhu",Negatif
lengket dan warna yg ini samsek gaada warnanya jatohnya lipglos,Negatif
"warna:nude tekstur:creamy transferproof, tidak kering di bibir, sedikit glossy",Negatif
ketahanan:ya kemasan:ya wangi:ya,Negatif
"batu di tepi danau laut tawar hiduplah sepasang suami istri dengan anak perempuannya yang cantik jelita di negeri aceh. selain cantik, ia juga rajin dan sangat menyayangi keluarganya. seorang pemuda tampan ingin meminang gadis itu. ia berasal dari keluarga terhormat dan kaya raya di negeri seberang. si gadis menerima pinangan si pemuda setelah keluarganya memberi restu. pesta pernikahan pun dilangsungkan dengan amat meriah. setelah beberapa hari, pemuda itu hendak pulang ke kampung halaman. ia mengajak istrinya. hati sang istri amat berat meninggalkan keluarga dan desanya. namun, ia harus mengikuti ajakan suami sebagai tanda bakti dan kesetiaan kepada suaminya. ""anakku, tinggallah di negeri suamimu,"" pesan sang ayah. ""ingatlah, selama dalam perjalanan, jangan menoleh ke belakang. jika melakukannya, kau akan menjadi batu!"" si gadis dan suaminya pun meninggalkan desa. mereka memulai perjalanan jauh menuju negeri di seberang lautan. hingga tibalah mereka di danau laut tawar. mereka menaiki sebuah sampan dan menyeberangi danau itu. saat sampan mengarungi danau, si gadis mendengar suara ibunya. suara itu terus memanggil-manggil namanya. kejadian itu berlangsung lama. akhirnya, si gadis lebih memilih menoleh. petaka pun seketika terjadi. sesaat setelah si gadis menolehkan wajahnya ke belakang, tubuhnya berubah menjadi batu. betapa sedih hati sang suami. karena terlalu cinta, sang suami ingin selalu bersama istrinya. ia lantas memohon kepada tuhan agar dirinya berubah menjadi batu. selesai memohon, tubuh si pemuda berubah menjadi batu. sepasang batu itu berada di tepi danau laut tawar. pesan moral: dari kisah ini kita harus mematuhi nasihat orang tua dan hendaknya tidak mengingkari janji, bunda. ￼￼ 2. dongeng anak si kancil dan siput pada suatu hari yang cerah, kancil sedang berjalan dengan santai di pinggir sungai. disana ia bertemu dengan siput yang merangkak dengan lambat. kancil lalu datang menghampiri siput dengan langkah yang angkuh. ""hai siput,"" kata kancil dengan sombong. ""apakah kamu berani adu cepat denganku?"" mendengar pertanyaan itu, siput tentu saja terkejut. ia merasa diejek oleh kancil. walaupun begitu, siput menerima ajakan kancil. ""baiklah, kancil,"" kata siput yang menerima ajakan kancil. ""aku terima ajakanmu. tapi jangan malu ya, kalau nanti justru kamu yang sendiri yang kalah."" ""hahahaha,"" seketika kancil tertawa mendengar ucapan siput. ""mana mungkin kamu bisa mengalahkan aku, siput? kamu adalah hewan perangkak yang sangat lambat."" mendengar hal itu, bukannya membatalkan ajakan kancil, siput justru makin menantang kancil. ""baik, tentukan saja kapan kita akan berlomba!"" ""hari minggu besok, di sini,"" kata kancil. ""pasti akan ada yang melihatku memenangkan lomba. catat itu."" kancil lalu bergegas pergi dengan tertawa.",Positif
profil kecantikan:mahal,Negatif
