no,comment,label
79,aku merasa kulitku lebih bersih dan cerah setelah pakai ini,netral
80,sayangnya efek sampingnya membuat kulit jadi iritasi,negatif
81,packaging menarik dan mudah dibawa kemanamana,positif
82,bagi aku hasilnya masih belum memuaskan,netral
83,pemakaian rutin ternyata cukup efektif untuk perbaikan kulit,positif
84,hasilnya samarsamar tidak terlalu mencolok,netral
85,produk ini aman untuk kulit sensitif menurutku,negatif
86,beberapa kali pakai tapi kulit masih terasa kering,positif
87,aku puas dengan tekstur dan hasil akhir produk ini,netral
88,kurang terasa manfaatnya meski sudah dipakai rutin,positif
89,sayangnya kemasan mudah bocor dan tidak praktis,netral
90,cukup direkomendasikan untuk perawatan harian kulit,negatif
91,bingung karena hasilnya tidak konsisten setiap kali pakai,positif
92,wangi dan teksturnya benarbenar bikin betah pakai produk ini,netral
93,pernah membuat kulitku breakout jadi harus berhenti pakai,positif
94,cukup lumayan tapi belum mencapai ekspektasi,netral
95,kulit terasa lebih segar dan terhidrasi setelah pemakaian,negatif
96,aku merasa kecewa karena produk ini tidak memberikan hasil yang menjanjikan,positif
97,efeknya baru terasa setelah pemakaian yang cukup lama,netral
98,produk ini sukses mengurangi noda dan bekas jerawatku,positif
99,sayangnya harganya terlalu mahal untuk hasil yang didapat,netral
100,pemakaian yang konsisten membuat kulit jadi lebih cerah dan sehat,negatif
